exclude,Name,Code,Theme,URL,Source,freq,nace_r2,unit,s_adj,tra_cov,aircraft,indic_bt,geo,nrg_bal,stk_flow,siec,partner,nrg_bal,crudeoil,sex,age,resid,icd10,indic_ur,,
,Consumers,ei_bsco_m,General and regional statistics,https://ec.europa.eu/eurostat/databrowser/view/ei_bsco_m/default/table?lang=en,Eurostat,,,all,NSA,,,,EA20,,,,,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ei_bsco_m?lang=EN&freq=M&sinceTimePeriod=2000&s_adj=NSA&geo=EA20,Indic ET is not a dimension
,Aircraft traffic data by reporting country,avia_tf_acc,Transport,https://ec.europa.eu/eurostat/databrowser/product/page/avia_tf_acc,Eurostat,M,,,,Total,Total,,EU27_2020,,,,,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/avia_tf_acc?lang=EN&freq=M&sinceTimePeriod=2000&s_adj=NSA&geo=EU27_2020,No data found. Maybe not for Geo20
,Supply transformation and consumption of electricity,nrg_cb_em,Environment and energy,https://ec.europa.eu/eurostat/databrowser/product/page/nrg_cb_em,Eurostat,,,,,,,,EU27_2020,AIM,,,,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_cb_em?lang=EN&freq=M&sinceTimePeriod=2000&geo=EU27_2020nrg_bal=AIM,
,Stock levels for oil products,nrg_stk_oilm,Environment and energy,https://ec.europa.eu/eurostat/databrowser/product/page/nrg_stk_oilm,Eurostat,,,,,,,,EU27_2020,,STK_OP,4000&4100&4200,,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_stk_oilm?lang=EN&freq=M&sinceTimePeriod=2000&geo=EU27_2020stk_flow=STK_OP,note need to add siec
,Oil stocks held abroad,nrg_stk_oam,Environment and energy,https://ec.europa.eu/eurostat/databrowser/product/page/nrg_stk_oam,Eurostat,,,,,,,,EU27_2020,,STK_OP,4000&4100&4200,,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_stk_oam?lang=EN&freq=M&sinceTimePeriod=2000&geo=EU27_2020stk_flow=STK_OP,note need to add siec
,Supply transformation and consumption of gas,nrg_cb_gasm,Environment and energy,https://ec.europa.eu/eurostat/databrowser/product/page/nrg_cb_gasm,Eurostat,,,,,,,,EU27_2020,,stkcl_abr_oa,4000&4100&4200,,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_cb_gasm?lang=EN&freq=M&sinceTimePeriod=2000&geo=EU27_2020stk_flow=stkcl_abr_oa,note need to add siec
,Net electricity generation by type of fuel,nrg_cb_pem,Environment and energy,https://ec.europa.eu/eurostat/databrowser/product/page/nrg_cb_pem,Eurostat,,,,,,,,EU27_2020,,,total&CF&RA300&RA400,,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_cb_pem?lang=EN&freq=M&sinceTimePeriod=2000&geo=EU27_2020,note need to add siec
,Imports of natural gas by partner country,nrg_ti_gasm,Environment and energy,https://ec.europa.eu/eurostat/databrowser/product/page/nrg_ti_gasm,Eurostat,,,mio_m3,,,,,EU27_2020,,,,total,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_ti_gasm?lang=EN&freq=M&sinceTimePeriod=2000&geo=EU27_2020partner=total,
,Exports of natural gas by partner country,nrg_te_gasm,Environment and energy,https://ec.europa.eu/eurostat/databrowser/product/page/nrg_te_gasm,Eurostat,,,mio_m3,,,,,EU27_2020,,,,total,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_te_gasm?lang=EN&freq=M&sinceTimePeriod=2000&geo=EU27_2020partner=total,
,Supply and transformation of oil and petroleum products,nrg_cb_oilm,Environment and energy,https://ec.europa.eu/eurostat/databrowser/product/page/nrg_cb_oilm,Eurostat,,,,,,,,EU27_2020,,,,,GID_CAL,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_cb_oilm?lang=EN&freq=M&sinceTimePeriod=2000&geo=EU27_2020nrg_bal=GID_CAL,
,Crude oil imports by field of production,nrg_ti_coifpm,Environment and energy,https://ec.europa.eu/eurostat/databrowser/product/page/nrg_ti_coifpm,Eurostat,,,,,,,,EU27_2020,,,,,,total,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_ti_coifpm?lang=EN&freq=M&sinceTimePeriod=2000&geo=EU27_2020crudeoil=total,
,Imports of oil and petroleum products by partner country,nrg_ti_oilm,Environment and energy,https://ec.europa.eu/eurostat/databrowser/product/page/nrg_ti_oilm,Eurostat,,,,,,,,EU27_2020,,,4000&4100&4200,total,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_ti_oilm?lang=EN&freq=M&sinceTimePeriod=2000&geo=EU27_2020partner=total,note need to add siec
,Exports of oil and petroleum products by partner country,nrg_te_oilm,Environment and energy,https://ec.europa.eu/eurostat/databrowser/product/page/nrg_te_oilm,Eurostat,,,,,,,,EU27_2020,,,4000&4100&4200,total,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_te_oilm?lang=EN&freq=M&sinceTimePeriod=2000&geo=EU27_2020partner=total,note need to add siec
,Cooling and heating degree days by country,nrg_chdd_m,Environment and energy,https://ec.europa.eu/eurostat/databrowser/product/page/nrg_chdd_m,Eurostat,,,,,,,,EU27_2020,,,,,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_chdd_m?lang=EN&freq=M&sinceTimePeriod=2000&geo=EU27_2020,
,Slaughtering in slaughterhouses,apro_mt_pwgtm,Agriculture forestry and fisheries,https://ec.europa.eu/eurostat/databrowser/product/page/apro_mt_pwgtm,Eurostat,,,ths_t,,,,,EU27_2020,,,,,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/apro_mt_pwgtm?lang=EN&freq=M&sinceTimePeriod=2000&geo=EU27_2020unit=ths_t,
,Cows'milk collection and products obtained,apro_mk_colm,Agriculture forestry and fisheries,https://ec.europa.eu/eurostat/databrowser/product/page/apro_mk_colm,Eurostat,,,ths_t,,,,,EU27_2020,,,,,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/apro_mk_colm?lang=EN&freq=M&sinceTimePeriod=2000&geo=EU27_2020unit=ths_t,
,Meat production and foreign trade,apro_mt_pheadm,Agriculture forestry and fisheries,https://ec.europa.eu/eurostat/databrowser/product/page/apro_mt_pheadm,Eurostat,,,ths_t,,,,,EU27_2020,,,,,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/apro_mt_pheadm?lang=EN&freq=M&sinceTimePeriod=2000&geo=EU27_2020unit=ths_t,
