exclude,Name,Code,Theme,URL,Source,freq,indic_et,nace_r2,unit,s_adj,tra_cov,aircraft,indic_bt,geo,nrg_bal,stk_flow,siec,partner,nrg_bal,crudeoil,sex,age,resid,icd10,indic_ur,,
,Consumers,ei_bsco_m,General and regional statistics,https://ec.europa.eu/eurostat/databrowser/view/ei_bsco_m/default/table?lang=en,Eurostat,,all,,all,NSA,,,,EA20,,,,,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ei_bsco_m?lang=EN&freq=M&sinceTimePeriod=2000&s_adj=NSA&geo=EA20,
,Aircraft traffic data by reporting country,avia_tf_acc,Transport,https://ec.europa.eu/eurostat/databrowser/product/page/avia_tf_acc,Eurostat,M,,,,,Total,Total,,EA20,,,,,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/avia_tf_acc?lang=EN&freq=M&sinceTimePeriod=2000&s_adj=NSA&geo=EA20,
x,Airport traffic data by reporting airport and airlines,avia_tf_apal,Transport,https://ec.europa.eu/eurostat/databrowser/product/page/avia_tf_apal,Eurostat,,,,,,,,,EA20,,,,,,,,,,,,,
,Building permits,sts_cobp_m,"industry, trade and services",https://ec.europa.eu/eurostat/databrowser/product/page/sts_cobp_m,Eurostat,,,,,nsa,,,,EA20,,,,,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_cobp_m?lang=EN&freq=M&sinceTimePeriod=2000&s_adj=NSA&s_adj=NSA&geo=EA20,
,Production in industry,sts_inpr_m,"industry, trade and services",https://ec.europa.eu/eurostat/databrowser/product/page/sts_inpr_m,Eurostat,,,,I15,CA,,,,EA20,,,,,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inpr_m?lang=EN&freq=M&sinceTimePeriod=2000&s_adj=NSA&s_adj=CA&geo=EA20,need to add unit and pick either i15 or i21
,Production in construction,sts_copr_m,"industry, trade and services",https://ec.europa.eu/eurostat/databrowser/product/page/sts_copr_m,Eurostat,,,,I15,CA,,,,EA20,,,,,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_copr_m?lang=EN&freq=M&sinceTimePeriod=2000&s_adj=NSA&s_adj=CA&geo=EA20,need to add unit and pick either i15 or i21
,Turnover in services,sts_setu_m,"industry, trade and services",https://ec.europa.eu/eurostat/databrowser/product/page/sts_setu_m,Eurostat,,,,I15,CA,,,,EA20,,,,,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_setu_m?lang=EN&freq=M&sinceTimePeriod=2000&s_adj=NSA&s_adj=CA&geo=EA20,"https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/industry, trade and services?lang=EN&freq=M&sinceTimePeriod=2000&s_adj=NSA&s_adj=CA&geo="
,Production in services,sts_sepr_m,"industry, trade and services",https://ec.europa.eu/eurostat/databrowser/product/page/sts_sepr_m,Eurostat,,,,I15,CA,,,,EA20,,,,,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_sepr_m?lang=EN&freq=M&sinceTimePeriod=2000&s_adj=NSA&s_adj=CA&geo=EA20,need to add unit and pick either i15 or i21
,Market production,sts_tot_prod_m,"industry, trade and services",https://ec.europa.eu/eurostat/databrowser/product/page/sts_tot_prod_m,Eurostat,,,,I15,,,,,EA20,,,,,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_tot_prod_m?lang=EN&freq=M&sinceTimePeriod=2000&geo=EA20,need to add unit and pick either i15 or i21
,Import prices in industry,sts_inpi_m,"industry, trade and services",https://ec.europa.eu/eurostat/databrowser/product/page/sts_inpi_m,Eurostat,,,,I15,,,,,EA20,,,,,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inpi_m?lang=EN&freq=M&sinceTimePeriod=2000&geo=EA20,need to add unit and pick either i15 or i21
